date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:18	1951/1951	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245f12de4d7b95a193ecdc5cfde664bb9%22	https://cdn.orbitpages.online/assets/libs/js-cookie/js.cookie.min.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/js-cookie/js.cookie.min.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:18	109538/109538	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Mar%202023%2003:20:21%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/1200%20Atividades/connect.facebook.net/en_US/fbevents.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:19	7501/7501	---MC-	200	added ('OK')	image/png	date:Thu,%2030%20Mar%202023%2003:20:21%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/logo-cabecario.png	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/logo-cabecario.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:19	35502/35502	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2030%20Mar%202023%2003:20:22%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/mocap-400-copy.jpg	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/mocap-400-copy.jpg	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:19	11667/11667	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2030%20Mar%202023%2003:20:22%20GMT	https://img.imageboss.me/orbitpages/width/425/withoutEnlargement:true/sites/269240/2022/08/img-oque-e-atualizado.jpg	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/width/425/withoutEnlargement_true/sites/269240/2022/08/img-oque-e-atualizado.jpg	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:20	1756/1756	---MC-	200	added ('OK')	image/png	date:Thu,%2030%20Mar%202023%2003:20:22%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/06/certo-icon.fw_.png	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/06/certo-icon.fw_.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:20	92779/92779	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2030%20Mar%202023%2003:20:23%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/modelos-atividades-1-scaled.jpg	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/modelos-atividades-1-scaled.jpg	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:20	13471/13471	---MC-	200	added ('OK')	image/png	date:Thu,%2030%20Mar%202023%2003:20:23%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/icon-alfabeto.png	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/icon-alfabeto.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:21	6729/6729	---MC-	200	added ('OK')	image/png	date:Thu,%2030%20Mar%202023%2003:20:23%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/icon-vogais.png	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/icon-vogais.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:21	7522/7522	---MC-	200	added ('OK')	image/png	date:Thu,%2030%20Mar%202023%2003:20:24%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/icon-silabario.png	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/icon-silabario.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:21	4922/4922	---MC-	200	added ('OK')	image/png	date:Thu,%2030%20Mar%202023%2003:20:24%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/icon-conhecendo-numeros.png	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/icon-conhecendo-numeros.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:21	3517/3517	---MC-	200	added ('OK')	image/png	date:Thu,%2030%20Mar%202023%2003:20:24%20GMT	https://img.imageboss.me/orbitpages/cdn/withoutEnlargement:true/sites/269240/2022/08/icon-matematica.png	C:/Meus%20Sites/1200%20Atividades/img.imageboss.me/orbitpages/cdn/withoutEnlargement_true/sites/269240/2022/08/icon-matematica.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
